Information listing created by	Afonso Araújo
Date	25-Nov-2023 17:19:00
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\teste_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  67                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 74 75 3 4
  68                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 74 4 73 72
  69                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 74 72 67 66
  70                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 64 164 165 1
  71                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 76 64 1 2
  72                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 76 2 3 75
  73                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 79 181 203 172
  74                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 173 201 161 78
  75                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 173 78 79 172
  76                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 81 56 7 6
  77                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 5 179 180 80
  78                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 5 80 81 6
  79                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 82 79 78 83
  80                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 82 83 58 57
  81                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 82 57 56 81
  82                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 80 180 181 79
  83                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 80 79 82 81
  84                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 143 197 144 89
  85                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 90 88 141 142
  86                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 90 142 143 89
  87                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 92 91 146 147
  88                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 92 147 198 152
