Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  102                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 354 961 962 346 545 968 540 546
  103                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 354 346 345 353 546 537 544 547
  104                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 341 960 961 354 548 969 545 549
  105                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 355 341 354 353 550 549 547 551
  106                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 355 353 350 351 551 543 552 553
  107                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 352 339 340 356 554 555 556 557
  108                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 352 356 355 351 557 558 553 559
  109                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 359 338 339 352 560 561 554 562
  110                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 359 352 351 357 562 559 563 564
  111                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 360 1008 1009 337 565 1027 566 567
  112                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 360 337 338 359 567 568 560 569
  113                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 358 1007 1008 360 570 1028 565 571
  114                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 358 360 359 357 571 569 564 572
  115                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 361 357 351 350 573 563 552 574
  116                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 361 350 344 343 574 542 575 576
  117                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 362 342 1005 1006 577 578 1029 579
  118                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 362 1006 1007 358 579 1030 570 580
  119                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 361 343 342 362 576 581 577 582
  120                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 361 362 358 357 582 580 572 573
