Information listing created by	Afonso Araújo
Date	07-Dec-2023 00:41:54
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\comsimetria_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  57                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 5 6 62 64 356 357 352 358
  58                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 5 64 63 4 358 355 351 359
  59                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 8 9 47 65 360 303 361 362
  60                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 66 62 6 7 363 357 364 365
  61                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 66 7 8 65 365 366 362 367
  62                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 69 70 18 17 368 369 272 370
  63                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 69 17 62 66 370 353 363 371
  64                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 69 66 65 67 371 367 372 373
  65                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 68 19 18 70 374 279 369 375
  66                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 68 70 69 67 375 368 373 376
  67                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 67 65 47 46 372 361 310 377
  68                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 45 20 19 68 318 299 374 378
  69                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 45 68 67 46 378 376 377 322
  70                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 75 74 2 3 379 380 381 382
  71                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 75 3 879 880 382 383 892 384
  72                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 71 72 74 75 385 386 379 387
  73                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 71 75 880 881 387 384 893 388
  74                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 76 73 816 817 389 390 831 391
  75                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 76 817 818 1 391 832 392 393
  76                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 74 72 73 76 386 394 389 395
